tourney_id,tourney_name,surface,drap1_size,tourney_level,tourney_date,match_num,p1_id,p1_name,p1_hand,p1_ioc,p1_age,p1_rank,p1_rank_points,p2_id,p2_name,p2_hand,p2_ioc,p2_age,p2_rank,p2_rank_points,p1_win_prob_20w,p1_ace_prob_20w,p1_df_prob_20w,p1_svptWon_prob_20w,p2_win_prob_20w,p2_ace_prob_20w,p2_df_prob_20w,p2_svptWon_prob_20w,p1_surface_win_prob_20w,p2_surface_win_prob_20w,p1_win,diff_points
2016-M020,Brisbane,Hard,32.0,A,20160104.0,287.0,103285.0,Radek Stepanek,R,CZE,37.10335387,197.0,252.0,106071.0,Bernard Tomic,R,AUS,23.20328542,18.0,1675.0,1.0,0.0625,0.041666666666666664,0.7083333333333334,1.0,0.13559322033898305,0.0,0.711864406779661,1.0,1.0,0,2
2016-0891,Chennai,Hard,32.0,A,20160104.0,287.0,105379.0,Aljaz Bedene,R,GBR,26.46406571,45.0,939.0,104563.0,Luca Vanni,R,ITA,30.58453114,106.0,552.0,1.0,0.02666666666666667,0.04,0.6933333333333334,1.0,0.16666666666666666,0.030303030303030304,0.6515151515151515,1.0,1.0,1,8
2016-0451,Doha,Hard,32.0,A,20160104.0,287.0,105723.0,Andrey Kuznetsov,R,RUS,24.86516085,79.0,663.0,105575.0,Ricardas Berankis,R,LTU,25.53867214,85.0,641.0,1.0,0.12727272727272726,0.03636363636363636,0.6909090909090909,0.0,0.02564102564102564,0.01282051282051282,0.5641025641025641,1.0,0.0,1,4
2016-M020,Brisbane,Hard,32.0,A,20160104.0,288.0,105683.0,Milos Raonic,R,CAN,25.02121834,14.0,2170.0,104471.0,Ivan Dodig,R,CRO,31.00342231,87.0,636.0,,,,,1.0,0.22448979591836735,0.04081632653061224,0.7551020408163265,,1.0,1,4
2016-0891,Chennai,Hard,32.0,A,20160104.0,288.0,105357.0,John Millman,R,AUS,26.55715264,92.0,611.0,105138.0,Roberto Bautista Agut,R,ESP,27.72347707,25.0,1480.0,0.0,0.058823529411764705,0.049019607843137254,0.6274509803921569,,,,,0.0,,0,3
2016-0451,Doha,Hard,32.0,A,20160104.0,288.0,105011.0,Illya Marchenko,R,UKR,28.32306639,94.0,605.0,104559.0,Teymuraz Gabashvili,R,RUS,30.61738535,50.0,863.0,1.0,0.0392156862745098,0.0392156862745098,0.6764705882352942,1.0,0.025974025974025976,0.03896103896103896,0.6883116883116883,1.0,1.0,0,2
2016-M020,Brisbane,Hard,32.0,A,20160104.0,289.0,106298.0,Lucas Pouille,R,FRA,21.86173854,78.0,672.0,105676.0,David Goffin,R,BEL,25.07597536,16.0,1880.0,1.0,0.17894736842105263,0.021052631578947368,0.7157894736842105,1.0,0.05263157894736842,0.07017543859649122,0.6842105263157895,1.0,1.0,0,5
2016-0891,Chennai,Hard,32.0,A,20160104.0,289.0,106432.0,Borna Coric,R,CRO,19.137577,44.0,941.0,105572.0,Austin Krajicek,L,USA,25.5523614,104.0,559.0,1.0,0.03260869565217391,0.0,0.6521739130434783,0.0,0.0967741935483871,0.021505376344086023,0.7096774193548387,1.0,0.0,1,3
2016-0451,Doha,Hard,32.0,A,20160104.0,289.0,104871.0,Jeremy Chardy,R,FRA,28.89253936,31.0,1255.0,103908.0,Paul Henri Mathieu,R,FRA,33.97672827,95.0,604.0,1.0,0.08823529411764706,0.029411764705882353,0.7352941176470589,1.0,0.018018018018018018,0.06306306306306306,0.6306306306306306,1.0,1.0,1,7
2016-M020,Brisbane,Hard,32.0,A,20160104.0,290.0,106233.0,Dominic Thiem,R,AUT,22.33538672,20.0,1600.0,106045.0,Denis Kudla,R,USA,23.38124572,69.0,719.0,1.0,0.05,0.025,0.7,1.0,0.0273972602739726,0.0410958904109589,0.7534246575342466,1.0,1.0,1,9
2016-0891,Chennai,Hard,32.0,A,20160104.0,290.0,104180.0,Gilles Muller,L,LUX,32.65708419,38.0,1105.0,105341.0,Thomas Fabbiano,R,ITA,26.6091718,157.0,362.0,1.0,0.19387755102040816,0.05102040816326531,0.7653061224489796,1.0,0.0,0.02857142857142857,0.5428571428571428,1.0,1.0,0,1
2016-0451,Doha,Hard,32.0,A,20160104.0,290.0,103926.0,Daniel Munoz De La Nava,L,ESP,33.9301848,75.0,681.0,106378.0,Kyle Edmund,R,GBR,20.98836413,102.0,568.0,1.0,0.0392156862745098,0.0196078431372549,0.7058823529411765,0.0,0.14285714285714285,0.02040816326530612,0.673469387755102,1.0,0.0,0,9
2016-M020,Brisbane,Hard,32.0,A,20160104.0,291.0,105227.0,Marin Cilic,R,CRO,27.26625599,13.0,2405.0,111202.0,Hyeon Chung,R,KOR,19.62765229,51.0,817.0,,,,,1.0,0.0273972602739726,0.0410958904109589,0.6712328767123288,,1.0,1,1
2016-0891,Chennai,Hard,32.0,A,20160104.0,291.0,105332.0,Benoit Paire,R,FRA,26.65845311,19.0,1633.0,104586.0,Lukas Rosol,R,CZE,30.4476386,55.0,797.0,,,,,1.0,0.14492753623188406,0.07246376811594203,0.6811594202898551,,1.0,1,0
2016-0451,Doha,Hard,32.0,A,20160104.0,291.0,104607.0,Tomas Berdych,R,CZE,30.29705681,6.0,4620.0,106000.0,Damir Dzumhur,R,BIH,23.62491444,82.0,649.0,1.0,0.04918032786885246,0.03278688524590164,0.7049180327868853,1.0,0.04081632653061224,0.061224489795918366,0.7551020408163265,1.0,1.0,1,3
2016-M020,Brisbane,Hard,32.0,A,20160104.0,292.0,104678.0,Viktor Troicki,R,SRB,29.897330600000004,22.0,1487.0,105777.0,Grigor Dimitrov,R,BUL,24.63791923,28.0,1360.0,1.0,0.05357142857142857,0.03571428571428571,0.7321428571428571,1.0,0.09876543209876543,0.07407407407407407,0.6666666666666666,1.0,1.0,0,0
2016-0891,Chennai,Hard,32.0,A,20160104.0,292.0,105302.0,Ante Pavic,R,CRO,26.82819986,449.0,90.0,104198.0,Guillermo Garcia Lopez,R,ESP,32.58590007,27.0,1430.0,0.0,0.125,0.020833333333333332,0.7291666666666666,1.0,0.07777777777777778,0.011111111111111112,0.6888888888888889,0.0,1.0,0,7
2016-0451,Doha,Hard,32.0,A,20160104.0,292.0,104665.0,Pablo Andujar,R,ESP,29.94661191,64.0,770.0,104919.0,Leonardo Mayer,R,ARG,28.64065708,35.0,1150.0,1.0,0.011904761904761904,0.023809523809523808,0.5833333333333334,1.0,0.05263157894736842,0.07017543859649122,0.6666666666666666,1.0,1.0,0,1
2016-M020,Brisbane,Hard,32.0,A,20160104.0,293.0,103819.0,Roger Federer,R,SUI,34.40657084,3.0,8265.0,104735.0,Tobias Kamke,R,GER,29.62354552,277.0,185.0,,,,,0.0,0.01694915254237288,0.0,0.711864406779661,,0.0,1,3
2016-0891,Chennai,Hard,32.0,A,20160104.0,293.0,126094.0,Andrey Rublev,R,RUS,18.20670773,185.0,270.0,104527.0,Stanislas Wawrinka,R,SUI,30.770705,4.0,6865.0,0.0,0.0,0.02531645569620253,0.6708860759493671,,,,,0.0,,0,0
2016-0451,Doha,Hard,32.0,A,20160104.0,293.0,104925.0,Novak Djokovic,R,SRB,28.62149213,1.0,16585.0,104269.0,Fernando Verdasco,L,ESP,32.13689254,49.0,900.0,1.0,0.05,0.0,0.75,1.0,0.15584415584415584,0.0,0.6883116883116883,1.0,1.0,1,7
2016-M020,Brisbane,Hard,32.0,A,20160104.0,294.0,105453.0,Kei Nishikori,R,JPN,26.01505818,8.0,4235.0,106071.0,Bernard Tomic,R,AUS,23.20328542,18.0,1675.0,1.0,0.08196721311475409,0.03278688524590164,0.6885245901639344,1.0,0.15606936416184972,0.005780346820809248,0.6647398843930635,1.0,1.0,0,10
2016-0891,Chennai,Hard,32.0,A,20160104.0,294.0,105379.0,Aljaz Bedene,R,GBR,26.46406571,45.0,939.0,106368.0,Ramkumar Ramanathan,R,IND,21.15537303,248.0,209.0,1.0,0.08928571428571429,0.02976190476190476,0.7083333333333334,0.5,0.1,0.016666666666666666,0.7,1.0,0.5,1,7
2016-0451,Doha,Hard,32.0,A,20160104.0,294.0,104745.0,Rafael Nadal,L,ESP,29.58795346,5.0,5230.0,105723.0,Andrey Kuznetsov,R,RUS,24.86516085,79.0,663.0,1.0,0.045112781954887216,0.022556390977443608,0.7218045112781954,1.0,0.08661417322834646,0.047244094488188976,0.6299212598425197,1.0,1.0,1,3
2016-M020,Brisbane,Hard,32.0,A,20160104.0,295.0,105683.0,Milos Raonic,R,CAN,25.02121834,14.0,2170.0,106298.0,Lucas Pouille,R,FRA,21.86173854,78.0,672.0,1.0,0.16037735849056603,0.04716981132075472,0.6981132075471698,0.5,0.14925373134328357,0.029850746268656716,0.681592039800995,1.0,0.5,1,6
2016-0891,Chennai,Hard,32.0,A,20160104.0,295.0,105138.0,Roberto Bautista Agut,R,ESP,27.72347707,25.0,1480.0,106432.0,Borna Coric,R,CRO,19.137577,44.0,941.0,1.0,0.017241379310344827,0.017241379310344827,0.6724137931034483,1.0,0.041379310344827586,0.006896551724137931,0.7103448275862069,1.0,1.0,0,9
2016-0451,Doha,Hard,32.0,A,20160104.0,295.0,105011.0,Illya Marchenko,R,UKR,28.32306639,94.0,605.0,104871.0,Jeremy Chardy,R,FRA,28.89253936,31.0,1255.0,0.5,0.0457516339869281,0.032679738562091505,0.6993464052287581,1.0,0.189873417721519,0.02531645569620253,0.7848101265822784,0.5,1.0,0,6
2016-M020,Brisbane,Hard,32.0,A,20160104.0,296.0,106233.0,Dominic Thiem,R,AUT,22.33538672,20.0,1600.0,105227.0,Marin Cilic,R,CRO,27.26625599,13.0,2405.0,1.0,0.088,0.024,0.736,1.0,0.23376623376623376,0.03896103896103896,0.6883116883116883,1.0,1.0,0,0
2016-0891,Chennai,Hard,32.0,A,20160104.0,296.0,105341.0,Thomas Fabbiano,R,ITA,26.6091718,157.0,362.0,105332.0,Benoit Paire,R,FRA,26.65845311,19.0,1633.0,1.0,0.0,0.030120481927710843,0.5843373493975904,1.0,0.11764705882352941,0.04411764705882353,0.6470588235294118,1.0,1.0,0,5
2016-0451,Doha,Hard,32.0,A,20160104.0,296.0,104607.0,Tomas Berdych,R,CZE,30.29705681,6.0,4620.0,106378.0,Kyle Edmund,R,GBR,20.98836413,102.0,568.0,1.0,0.08333333333333333,0.037037037037037035,0.6574074074074074,0.5,0.10596026490066225,0.006622516556291391,0.6490066225165563,1.0,0.5,1,0
2016-M020,Brisbane,Hard,32.0,A,20160104.0,297.0,103819.0,Roger Federer,R,SUI,34.40657084,3.0,8265.0,105777.0,Grigor Dimitrov,R,BUL,24.63791923,28.0,1360.0,1.0,0.05,0.025,0.75,1.0,0.08585858585858586,0.050505050505050504,0.6565656565656566,1.0,1.0,1,1
2016-0891,Chennai,Hard,32.0,A,20160104.0,297.0,104527.0,Stanislas Wawrinka,R,SUI,30.770705,4.0,6865.0,104198.0,Guillermo Garcia Lopez,R,ESP,32.58590007,27.0,1430.0,1.0,0.13636363636363635,0.022727272727272728,0.8181818181818182,1.0,0.06432748538011696,0.029239766081871343,0.672514619883041,1.0,1.0,1,5
2016-0451,Doha,Hard,32.0,A,20160104.0,297.0,104925.0,Novak Djokovic,R,SRB,28.62149213,1.0,16585.0,104919.0,Leonardo Mayer,R,ARG,28.64065708,35.0,1150.0,1.0,0.04395604395604396,0.02197802197802198,0.7362637362637363,1.0,0.08571428571428572,0.047619047619047616,0.7047619047619048,1.0,1.0,1,8
2016-M020,Brisbane,Hard,32.0,A,20160104.0,298.0,106071.0,Bernard Tomic,R,AUS,23.20328542,18.0,1675.0,105683.0,Milos Raonic,R,CAN,25.02121834,14.0,2170.0,1.0,0.15185185185185185,0.007407407407407408,0.6407407407407407,1.0,0.18354430379746836,0.056962025316455694,0.7151898734177216,1.0,1.0,0,1
2016-0891,Chennai,Hard,32.0,A,20160104.0,298.0,106432.0,Borna Coric,R,CRO,19.137577,44.0,941.0,105379.0,Aljaz Bedene,R,GBR,26.46406571,45.0,939.0,1.0,0.06198347107438017,0.012396694214876033,0.6900826446280992,1.0,0.08921933085501858,0.026022304832713755,0.7174721189591078,1.0,1.0,1,14
2016-0451,Doha,Hard,32.0,A,20160104.0,298.0,104745.0,Rafael Nadal,L,ESP,29.58795346,5.0,5230.0,105011.0,Illya Marchenko,R,UKR,28.32306639,94.0,605.0,1.0,0.0410958904109589,0.0136986301369863,0.6712328767123288,0.3333333333333333,0.05,0.022727272727272728,0.6909090909090909,1.0,0.3333333333333333,1,6
2016-M020,Brisbane,Hard,32.0,A,20160104.0,299.0,106233.0,Dominic Thiem,R,AUT,22.33538672,20.0,1600.0,103819.0,Roger Federer,R,SUI,34.40657084,3.0,8265.0,0.6666666666666666,0.08133971291866028,0.014354066985645933,0.7320574162679426,1.0,0.07317073170731707,0.016260162601626018,0.7642276422764228,0.6666666666666666,1.0,0,5
2016-0891,Chennai,Hard,32.0,A,20160104.0,299.0,105332.0,Benoit Paire,R,FRA,26.65845311,19.0,1633.0,104527.0,Stanislas Wawrinka,R,SUI,30.770705,4.0,6865.0,1.0,0.14102564102564102,0.05128205128205128,0.5833333333333334,1.0,0.21052631578947367,0.010526315789473684,0.7894736842105263,1.0,1.0,0,2
